0.00,0.08,inf,1.99,1,2920
0.05,0.84,16.02,1.99,1,2923
0.00,0.00,nan,1.98,1,2926
0.00,0.00,nan,1.98,1,2929
0.09,1.29,14.05,1.98,1,2935
0.00,0.00,nan,1.99,1,2938
0.10,0.08,0.75,1.98,1,2941
0.00,0.00,nan,1.99,1,2944
0.00,0.27,inf,1.99,1,2946
0.05,0.76,15.29,1.99,1,2950
0.00,0.00,nan,1.99,1,2953
0.00,0.00,nan,2.00,1,2955
0.33,12.80,38.62,1.97,1,2959
0.39,13.25,33.89,1.94,1,2962
0.39,13.44,34.37,1.94,1,2965
0.39,13.44,34.59,1.95,1,2968
0.35,12.91,37.29,1.96,1,2975
0.39,13.22,33.79,1.95,1,2978
0.39,13.41,34.28,1.96,1,2981
0.39,13.37,34.18,1.96,1,2984
0.32,12.45,39.06,1.97,1,2988
0.38,13.29,34.65,1.97,1,2991
0.39,12.99,33.42,1.97,1,2994
0.39,13.29,33.98,1.97,1,2997
0.39,11.92,30.67,1.97,1,3001
0.28,12.64,44.92,1.97,1,3004
0.37,12.42,33.45,1.96,1,3007
0.39,13.06,33.61,1.96,1,3010
0.39,11.84,30.48,1.96,1,3013
0.39,13.22,34.01,1.96,1,3017
0.34,13.10,38.39,1.96,1,3020
0.32,12.07,37.86,1.95,1,3023
0.38,11.12,29.37,1.97,1,3026
0.00,0.00,nan,1.97,1,3029
0.02,0.65,25.99,1.96,1,3032
0.09,1.41,16.16,1.96,1,3036
0.00,0.00,nan,1.96,1,3041
0.05,0.84,16.02,1.95,1,3044
0.00,0.00,nan,1.95,1,3047
0.00,0.00,nan,1.95,1,3050
0.02,0.61,34.94,1.94,1,3053
0.07,1.37,20.38,1.95,1,3057
0.00,0.00,nan,1.95,1,3059
0.00,0.00,nan,1.92,1,3062
0.05,0.88,15.98,1.92,1,3065
0.00,0.00,nan,1.93,1,3071
0.01,0.34,34.40,1.89,1,3074
0.32,1.29,4.03,1.90,1,3077
0.06,0.95,16.62,1.89,1,3081
0.05,0.00,0.00,1.94,1,3084
0.03,0.04,1.18,1.94,1,3087
0.00,0.46,inf,1.94,1,3090
0.01,0.00,0.00,1.95,1,3092
0.03,0.91,30.58,1.95,1,3096
0.29,13.37,46.66,1.95,1,3099
0.35,12.91,36.50,1.95,1,3102
0.39,13.25,33.89,1.96,1,3105
0.39,13.48,34.47,1.96,1,3109
0.39,13.44,34.37,1.96,1,3112
0.35,12.99,36.97,1.97,1,3115
0.35,12.80,36.17,1.97,1,3118
0.39,13.10,33.71,1.96,1,3121
0.39,13.37,34.18,2.00,1,3128
0.35,12.80,36.96,2.00,1,3131
0.35,12.72,36.21,1.99,1,3134
0.39,7.88,20.29,2.02,1,3137
0.33,12.80,39.21,2.02,1,3141
0.37,12.80,34.94,2.02,1,3144
0.39,13.25,33.89,2.01,1,3147
0.39,11.96,30.77,2.01,1,3150
0.39,13.22,34.01,2.01,1,3154
0.34,12.61,36.94,2.01,1,3157
0.36,12.64,35.00,1.97,1,3160
0.38,12.91,34.10,1.97,1,3163
0.39,13.18,33.69,1.96,1,3166
0.00,0.00,nan,1.96,1,3169
0.00,0.00,nan,1.96,1,3172
0.01,6.97,466.28,1.95,1,3176
0.00,0.00,nan,1.95,1,3178
0.04,0.76,16.99,1.95,1,3182
0.02,1.33,53.51,1.94,1,3188
0.00,0.00,nan,1.94,1,3191
0.00,0.00,nan,1.94,1,3194
0.03,0.88,29.30,1.93,1,3197
0.04,5.60,124.85,1.93,1,3200
0.09,0.65,7.02,1.93,1,3203
0.00,0.00,nan,1.93,1,3206
0.05,0.69,14.48,1.94,1,3209
0.00,0.00,nan,1.94,1,3212
0.00,0.00,nan,1.95,1,3218
0.00,0.00,nan,1.98,1,3221
0.03,0.76,23.52,1.99,1,3224
0.07,0.00,0.00,1.99,1,3227
0.05,0.76,14.56,1.99,1,3230
0.00,0.00,nan,1.99,1,3233
0.00,0.00,nan,1.99,1,3236
0.39,13.44,34.82,1.99,1,3239
0.39,13.44,34.37,2.00,1,3242
0.39,13.44,34.37,2.00,1,3245
0.39,13.44,34.59,2.01,1,3249
