0.01,0.69,68.80,1.95,1,3918
0.05,8.19,164.35,1.96,1,3921
0.08,1.22,15.29,1.95,1,3924
0.05,0.00,0.00,1.96,1,3927
0.00,0.00,nan,1.97,1,3933
0.00,0.00,nan,1.97,1,3936
0.04,1.22,28.78,1.97,1,3939
0.39,13.48,34.92,1.97,1,3942
0.32,11.50,36.07,1.97,1,3946
0.39,13.18,33.91,1.97,1,3949
0.39,13.48,34.47,1.98,1,3952
0.39,13.48,34.47,1.98,1,3955
0.35,12.91,37.02,1.98,1,3958
0.35,12.91,36.50,1.98,1,3962
0.39,13.06,33.61,1.98,1,3965
0.39,13.41,34.28,1.99,1,3968
0.39,13.37,34.18,1.99,1,3971
0.35,13.33,37.95,1.99,1,3975
0.35,12.72,35.96,1.99,1,3978
0.38,12.95,33.97,2.02,1,3981
0.39,13.29,33.98,2.02,1,3984
0.39,13.29,33.98,2.03,1,3988
0.39,13.25,34.32,2.03,1,3991
0.35,6.93,20.02,2.02,1,3994
0.30,13.22,44.58,2.02,1,3997
0.32,12.23,38.04,2.02,1,4000
0.39,12.99,33.42,2.01,1,4004
0.39,9.86,25.22,2.01,1,4007
0.05,1.03,18.76,2.00,1,4013
0.04,0.69,15.29,1.99,1,4016
0.00,0.00,nan,2.00,1,4019
0.00,0.00,nan,1.99,1,4022
0.05,0.72,13.20,1.99,1,4025
0.06,0.00,0.00,1.99,1,4028
0.05,2.44,51.50,1.99,1,4031
0.00,0.00,nan,1.98,1,4034
0.00,0.00,nan,1.98,1,4037
0.03,0.84,30.58,1.98,1,4040
0.12,0.00,0.00,1.98,1,4046
0.00,0.00,nan,1.98,1,4049
0.00,0.00,nan,1.98,1,4052
0.00,0.34,inf,1.98,1,4055
0.28,0.84,2.95,1.98,1,4058
0.02,0.69,34.40,1.98,1,4061
0.07,0.95,14.16,1.99,1,4064
0.00,0.00,nan,1.99,1,4067
0.00,0.00,nan,2.01,1,4076
0.00,0.00,nan,2.01,1,4079
0.01,0.57,57.33,2.01,1,4082
0.33,13.48,41.31,2.01,1,4085
0.34,12.26,35.93,2.01,1,4089
0.39,13.41,34.28,2.02,1,4092
0.39,13.48,34.47,2.02,1,4095
0.39,13.48,34.47,2.02,1,4098
0.34,12.76,37.38,2.03,1,4102
0.32,12.38,38.82,2.03,1,4105
0.39,13.41,34.28,2.03,1,4108
0.39,13.41,34.50,2.03,1,4111
0.39,13.37,34.18,2.03,1,4114
0.34,12.45,36.49,2.03,1,4118
0.61,12.42,20.51,2.03,1,4121
0.39,12.95,33.32,2.03,1,4124
0.39,13.29,33.98,2.03,1,4127
0.39,12.26,31.36,2.03,1,4131
0.25,13.18,52.37,2.03,1,4134
0.33,12.42,37.76,2.02,1,4137
0.38,12.53,32.66,2.01,1,4140
0.39,11.84,30.28,2.01,1,4143
0.39,13.22,33.79,2.01,1,4147
0.35,13.18,37.78,2.01,1,4150
0.06,1.22,21.27,2.00,1,4156
0.05,0.72,14.52,1.99,1,4159
0.00,0.00,nan,1.99,1,4162
0.00,0.00,nan,1.99,1,4165
0.04,5.67,133.99,1.98,1,4168
0.00,0.08,inf,1.98,1,4171
0.05,0.80,16.90,1.97,1,4174
0.00,0.00,nan,1.97,1,4177
0.00,0.00,nan,1.97,1,4180
0.00,0.00,nan,1.98,1,4186
0.04,0.65,16.24,1.97,1,4189
0.09,0.00,0.00,1.97,1,4192
0.06,0.88,15.29,1.97,1,4195
0.00,0.00,nan,1.98,1,4198
0.00,0.00,nan,1.98,1,4201
0.01,0.61,40.77,1.95,1,4204
0.00,0.42,inf,1.95,1,4207
0.00,0.00,nan,1.95,1,4210
0.00,0.00,nan,1.96,1,4213
0.14,0.00,0.00,1.93,1,4219
0.07,1.03,13.76,1.93,1,4222
0.39,13.48,34.92,1.93,1,4226
0.35,12.91,37.02,1.94,1,4229
0.34,12.80,37.22,1.94,1,4232
0.39,12.99,33.42,1.94,1,4235
0.39,13.44,34.37,1.95,1,4239
0.39,13.44,34.37,1.95,1,4242
0.35,12.95,37.13,1.96,1,4245
0.34,12.64,37.60,1.95,1,4248
0.38,12.64,32.96,1.95,1,4251
